"om.process","em.process","estimated","Under-weighted","Right-weighted","Over-weighted"
"OM: sigma=0","EM sigma=0","Fixed",2.43333333333333,2.5,2.55
"OM: sigma=0","EM sigma=0","h",2.5,2.55,2.6
"OM: sigma=0","EM sigma=0","M",2.5,2.55,2.56666666666667
"OM: sigma=0","EM sigma=.5","Fixed",4.5,4.76666666666667,4.96666666666667
"OM: sigma=0","EM sigma=.5","h",4.78333333333333,5.03333333333333,5.13333333333333
"OM: sigma=0","EM sigma=.5","M",4.7,4.9,5.09166666666667
"OM: sigma=0","EM sigma=1","Fixed",4.48333333333333,4.73333333333333,4.96666666666667
"OM: sigma=0","EM sigma=1","h",4.76666666666667,4.98333333333333,5.13333333333333
"OM: sigma=0","EM sigma=1","M",4.65833333333333,4.85833333333333,5.05
"OM: sigma=.5","EM sigma=0","Fixed",2.4,2.5,2.51666666666667
"OM: sigma=.5","EM sigma=0","h",2.53333333333333,2.6,2.7
"OM: sigma=.5","EM sigma=0","M",2.53333333333333,2.56666666666667,2.6
"OM: sigma=.5","EM sigma=.5","Fixed",4.79166666666666,5.11666666666667,5.16666666666667
"OM: sigma=.5","EM sigma=.5","h",4.975,5.23333333333333,5.35
"OM: sigma=.5","EM sigma=.5","M",4.9,5.2,5.31666666666667
"OM: sigma=.5","EM sigma=1","Fixed",4.81666666666667,5.06666666666667,5.18333333333333
"OM: sigma=.5","EM sigma=1","h",4.96666666666667,5.2,5.3
"OM: sigma=.5","EM sigma=1","M",4.91666666666667,5.16666666666667,5.28333333333333
